1	 1:6.6749	 2:3.09	 3:4.14	 4:.027707
1	 1:3.18918	 2:0	 3:0	 4:0
2	 1:10.1212	 2:1.1	 3:2.19	 4:.002286
2	 1:17.2555	 2:5.22	 3:5.58	 4:.006999
1	 1:4.33338	 2:0	 3:0	 4:0
1	 1:7.26436	 2:1.01	 3:0	 4:0
1	 1:3.82133	 2:1.01	 3:1.02	 4:.000759
1	 1:9.33423	 2:0	 3:1.02	 4:.000805
1	 1:0	 2:0	 3:0	 4:0
1	 1:1.77712	 2:0	 3:0	 4:0
1	 1:1.77712	 2:0	 3:0	 4:0
1	 1:9.33201	 2:3.08	 3:3.15	 4:.002138
2	 1:19.2402	 2:3.15	 3:8.39	 4:.011305
1	 1:5.36088	 2:0	 3:0	 4:0
2	 1:8.84204	 2:3.05	 3:3.07	 4:.019668
1	 1:10.5179	 2:4.36	 3:6	 4:.013618
1	 1:0	 2:6.22	 3:5.27	 4:.011992
1	 1:6.84217	 2:1.02	 3:1.02	 4:.001164
1	 1:6.17907	 2:0	 3:0	 4:0
1	 1:17.0216	 2:4.08	 3:4.24	 4:.004607
1	 1:4.33338	 2:0	 3:0	 4:0
1	 1:7.56276	 2:1.07	 3:2.09	 4:.002253
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:11.602	 2:1.01	 3:2.08	 4:.002514
1	 1:10.2788	 2:0	 3:1.01	 4:.000805
1	 1:7.61847	 2:0	 3:1.02	 4:.001627
1	 1:10.2527	 2:3.07	 3:3.17	 4:.002822
1	 1:5.85726	 2:0	 3:0	 4:0
1	 1:17.575	 2:4.33	 3:8.23	 4:.00745
1	 1:18.208	 2:5.22	 3:6.65	 4:.005155
1	 1:8.27328	 2:3.05	 3:3.04	 4:.002201
1	 1:16.4861	 2:4.2	 3:7.36	 4:.003995
2	 1:24.0899	 2:13.48	 3:17.36	 4:.035257
1	 1:7.72196	 2:0	 3:1.01	 4:.000805
1	 1:14.3803	 2:6.26	 3:4.41	 4:.009787
1	 1:2.56656	 2:0	 3:0	 4:0
1	 1:3.18664	 2:0	 3:0	 4:0
1	 1:1.77712	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
1	 1:7.38057	 2:0	 3:2.08	 4:.003388
2	 1:17.3217	 2:9.25	 3:10.68	 4:.018273
1	 1:6.41569	 2:0	 3:0	 4:0
2	 1:10.9671	 2:1.04	 3:1.06	 4:.000659
1	 1:3.18664	 2:0	 3:0	 4:0
1	 1:3.79659	 2:0	 3:0	 4:0
1	 1:5.05758	 2:0	 3:0	 4:0
1	 1:2.59113	 2:0	 3:0	 4:0
2	 1:1.84469	 2:1.01	 3:2.03	 4:.006258
1	 1:8.62288	 2:0	 3:1.01	 4:.000607
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:7.28484	 2:3.4	 3:4.59	 4:.006
1	 1:2.8819	 2:0	 3:0	 4:0
1	 1:4.41258	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
1	 1:18.2366	 2:13.39	 3:15.74	 4:.023908
1	 1:6.30121	 2:0	 3:0	 4:0
1	 1:5.98276	 2:0	 3:0	 4:0
1	 1:7.47927	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
2	 1:9.94289	 2:3.04	 3:4.1	 4:.003131
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
1	 1:13.2632	 2:3.04	 3:4.14	 4:.005368
1	 1:8.66479	 2:2.1	 3:2.34	 4:.001418
1	 1:3.30831	 2:0	 3:0	 4:0
1	 1:2.34667	 2:2.05	 3:2.13	 4:.011309
1	 1:5.7361	 2:1.04	 3:1.04	 4:.002123
1	 1:13.8167	 2:3.12	 3:3.15	 4:.003481
1	 1:4.59691	 2:0	 3:0	 4:0
1	 1:4.68802	 2:0	 3:0	 4:0
1	 1:11.6447	 2:0	 3:0	 4:0
2	 1:13.4531	 2:3.14	 3:4.24	 4:.0045
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:3.19948	 2:1.01	 3:1.07	 4:.001533
1	 1:15.1891	 2:1.01	 3:4.12	 4:.003861
1	 1:12.5527	 2:3.1	 3:4.32	 4:.01042
1	 1:4.41258	 2:1.01	 3:1.02	 4:.002248
1	 1:3.88096	 2:2.04	 3:2.07	 4:.00207
1	 1:20.9156	 2:3.1	 3:4.15	 4:.004392
1	 1:4.63681	 2:2.08	 3:2.14	 4:.004573
1	 1:15.1351	 2:2.04	 3:2.14	 4:.004344
1	 1:18.1407	 2:4.28	 3:6.77	 4:.010283
2	 1:28.6537	 2:15.51	 3:18.86	 4:.037279
2	 1:22.3051	 2:7.32	 3:10.23	 4:.010342
1	 1:12.5353	 2:4.06	 3:5.09	 4:.005903
1	 1:11.9472	 2:4.19	 3:4.33	 4:.00563
1	 1:4.57426	 2:0	 3:0	 4:0
2	 1:12.4285	 2:2.09	 3:2.14	 4:.001969
1	 1:7.72196	 2:0	 3:1.01	 4:.000805
1	 1:3.23696	 2:1.08	 3:1.12	 4:.00191
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:14.2974	 2:1.01	 3:2.02	 4:.001553
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:3.19695	 2:0	 3:0	 4:0
2	 1:15.3538	 2:1.01	 3:3.03	 4:.003113
1	 1:3.30831	 2:0	 3:0	 4:0
1	 1:6.14016	 2:0	 3:0	 4:0
2	 1:7.25623	 2:3.18	 3:2.23	 4:.010463
1	 1:7.2787	 2:1.04	 3:1.03	 4:.000607
1	 1:5.25839	 2:1.01	 3:1.01	 4:.002356
1	 1:15.0525	 2:3.39	 3:7.02	 4:.005383
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:5.95836	 2:0	 3:0	 4:0
1	 1:8.96501	 2:2.02	 3:3.05	 4:.012218
1	 1:11.0669	 2:1.01	 3:2.05	 4:.002514
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:7.83167	 2:1.01	 3:1.01	 4:.000808
2	 1:6.42966	 2:1.1	 3:1.13	 4:.000658
1	 1:5.20137	 2:2.06	 3:2.09	 4:.008384
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:4.385	 2:0	 3:1.01	 4:.001212
1	 1:6.75539	 2:2.07	 3:2.09	 4:.001546
1	 1:9.64564	 2:3.29	 3:2.35	 4:.00164
1	 1:0	 2:5.16	 3:6.44	 4:.004942
2	 1:5.4784	 2:2.08	 3:2.11	 4:.003258
1	 1:14.3708	 2:2.09	 3:4.69	 4:.00551
1	 1:6.83071	 2:1.04	 3:1.13	 4:.001932
1	 1:5.88474	 2:1.01	 3:1.07	 4:.001009
1	 1:2.71813	 2:0	 3:1.01	 4:.001135
1	 1:9.06318	 2:2.25	 3:2.32	 4:.001365
1	 1:2.91017	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:16.7735	 2:6.24	 3:7.6	 4:.007299
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:9.15622	 2:1.01	 3:0	 4:0
2	 1:6.85196	 2:3.24	 3:5.28	 4:.007976
1	 1:5.80709	 2:0	 3:0	 4:0
1	 1:13.9802	 2:0	 3:3.04	 4:.004187
2	 1:5.15731	 2:0	 3:1.01	 4:.001932
1	 1:3.16218	 2:1.01	 3:1.02	 4:.007621
1	 1:7.56943	 2:2.03	 3:3.05	 4:.004056
1	 1:3.18664	 2:0	 3:0	 4:0
1	 1:4.87416	 2:1.58	 3:1.95	 4:.000808
1	 1:4.41258	 2:0	 3:1.02	 4:.003553
1	 1:5.78633	 2:1.04	 3:1.05	 4:.002502
2	 1:11.2693	 2:5.42	 3:5.67	 4:.012853
2	 1:10.9403	 2:0	 3:0	 4:0
1	 1:1.77712	 2:0	 3:0	 4:0
2	 1:1.76682	 2:0	 3:0	 4:0
1	 1:25.1717	 2:12.52	 3:17.12	 4:.038075
1	 1:2.84822	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:10.6649	 2:2.03	 3:2.08	 4:.002532
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:6.95514	 2:2.04	 3:2.04	 4:.007816
1	 1:2.53371	 2:2.06	 3:2.17	 4:.011109
1	 1:8.16318	 2:3.07	 3:4.07	 4:.004094
1	 1:8.35105	 2:1.01	 3:0	 4:0
1	 1:6.81975	 2:2.02	 3:1.01	 4:.001164
1	 1:3.17095	 2:1.1	 3:1.09	 4:.001335
1	 1:1.77712	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
1	 1:10.548	 2:3.03	 3:2.03	 4:.00933
2	 1:15.3743	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:9.97572	 2:0	 3:1.01	 4:.002502
1	 1:23.3982	 2:9.74	 3:10.81	 4:.009825
1	 1:4.63082	 2:1.01	 3:2.02	 4:.003401
2	 1:10.1254	 2:2.02	 3:2.02	 4:.001889
1	 1:10.3576	 2:3.12	 3:2.19	 4:.003138
1	 1:12.5129	 2:3.14	 3:4.17	 4:.005211
1	 1:2.90397	 2:0	 3:0	 4:0
1	 1:2.97312	 2:0	 3:1.01	 4:.00114
1	 1:21.326	 2:9.32	 3:11.62	 4:.01618
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:14.2096	 2:0	 3:0	 4:0
1	 1:4.56949	 2:0	 3:0	 4:0
1	 1:12.3915	 2:1.03	 3:3.05	 4:.002387
1	 1:8.69863	 2:0	 3:1.01	 4:.000805
1	 1:7.67578	 2:2.02	 3:2.02	 4:.001798
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:4.68802	 2:0	 3:0	 4:0
1	 1:8.77144	 2:3.09	 3:3.21	 4:.003981
1	 1:17.6161	 2:2.07	 3:4.25	 4:.005297
2	 1:4.30172	 2:0	 3:0	 4:0
1	 1:4.70143	 2:0	 3:0	 4:0
1	 1:8.42497	 2:1.01	 3:1.09	 4:.001976
2	 1:7.65733	 2:2.03	 3:3.12	 4:.005301
1	 1:3.30831	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:3.82071	 2:2.03	 3:2.04	 4:.002052
2	 1:12.6447	 2:1.02	 3:2.07	 4:.00226
1	 1:12.0569	 2:7.34	 3:8.72	 4:.005103
1	 1:9.50905	 2:1.03	 3:3.06	 4:.014411
1	 1:4.41258	 2:2.02	 3:2.04	 4:.004604
1	 1:1.50465	 2:0	 3:1.01	 4:.001976
2	 1:12.4581	 2:6.38	 3:6.66	 4:.015536
1	 1:5.99576	 2:0	 3:0	 4:0
1	 1:2.97312	 2:1.02	 3:1.04	 4:.00114
1	 1:18.4091	 2:5.05	 3:8.29	 4:.026844
1	 1:0	 2:0	 3:0	 4:0
1	 1:7.72196	 2:0	 3:1.01	 4:.000805
1	 1:24.0348	 2:13.73	 3:14.25	 4:.014896
2	 1:6.80521	 2:0	 3:2.03	 4:.005755
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:5.36933	 2:0	 3:0	 4:0
1	 1:10.3221	 2:0	 3:2.04	 4:.002514
1	 1:3.82133	 2:1.02	 3:1.04	 4:.000759
1	 1:5.99307	 2:1.06	 3:1.09	 4:.00096
1	 1:4.33338	 2:0	 3:0	 4:0
1	 1:14.5859	 2:2.1	 3:4.34	 4:.004893
1	 1:8.16874	 2:3.15	 3:2.31	 4:.00663
1	 1:5.02919	 2:0	 3:1.04	 4:.002248
1	 1:7.66405	 2:1.02	 3:0	 4:0
1	 1:3.22666	 2:1.01	 3:1.01	 4:.00191
1	 1:3.18664	 2:1.01	 3:1.01	 4:.000759
1	 1:3.27147	 2:0	 3:1.01	 4:.001976
2	 1:14.4493	 2:3.26	 3:4.48	 4:.006976
1	 1:11.6432	 2:3.07	 3:6.19	 4:.008959
1	 1:4.40164	 2:0	 3:0	 4:0
1	 1:3.05459	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:12.6847	 2:2.06	 3:2.04	 4:.001411
1	 1:8.67717	 2:1.01	 3:3.17	 4:.003263
1	 1:12.4038	 2:2.04	 3:3.04	 4:.003909
1	 1:10.5501	 2:2.02	 3:3.1	 4:.003879
2	 1:3.10682	 2:0	 3:1.01	 4:.002248
1	 1:5.82082	 2:0	 3:0	 4:0
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:3.17095	 2:0	 3:0	 4:0
2	 1:11.9584	 2:3.04	 3:4.11	 4:.006955
2	 1:11.3834	 2:2.03	 3:4.12	 4:.004043
2	 1:4.43166	 2:0	 3:0	 4:0
1	 1:5.2122	 2:1.02	 3:1.06	 4:.003688
1	 1:7.47927	 2:0	 3:0	 4:0
1	 1:10.9347	 2:3.05	 3:3.06	 4:.003853
1	 1:6.44121	 2:0	 3:0	 4:0
1	 1:3.05459	 2:1.04	 3:1.04	 4:.002398
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:10.2202	 2:0	 3:2.03	 4:.001643
1	 1:12.7504	 2:2.14	 3:3.22	 4:.002251
1	 1:11.2422	 2:4.21	 3:4.5	 4:.013915
1	 1:20.1475	 2:2.08	 3:4.17	 4:.004392
1	 1:11.8601	 2:1.1	 3:1.27	 4:.000584
1	 1:13.1504	 2:5.16	 3:6.41	 4:.008608
1	 1:2.97312	 2:0	 3:1.02	 4:.00114
1	 1:10.5825	 2:2.19	 3:3.31	 4:.004435
1	 1:4.46612	 2:1.04	 3:1.11	 4:.001005
1	 1:23.5046	 2:11.47	 3:11.86	 4:.015875
1	 1:12.9005	 2:2.02	 3:3.04	 4:.010044
1	 1:4.41258	 2:1.18	 3:2.3	 4:.0058
1	 1:3.15995	 2:0	 3:0	 4:0
1	 1:11.6831	 2:3.03	 3:1.01	 4:.000609
2	 1:13.1737	 2:3.05	 3:4.19	 4:.002958
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:10.2628	 2:1.01	 3:1.07	 4:.000584
1	 1:8.45639	 2:2.03	 3:2.12	 4:.001779
1	 1:4.18914	 2:1.02	 3:1.02	 4:.000591
1	 1:7.72196	 2:0	 3:1.01	 4:.000805
1	 1:10.5804	 2:1.04	 3:2.07	 4:.001411
1	 1:5.44491	 2:3.23	 3:3.53	 4:.007124
1	 1:4.87697	 2:1.02	 3:1.06	 4:.001627
1	 1:3.19695	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:1.77712	 2:0	 3:0	 4:0
1	 1:1.77712	 2:0	 3:0	 4:0
1	 1:9.5123	 2:0	 3:3.05	 4:.002072
1	 1:7.96788	 2:4.16	 3:4.14	 4:.011504
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:3.30831	 2:0	 3:0	 4:0
1	 1:1.56044	 2:0	 3:0	 4:0
1	 1:1.39536	 2:1.01	 3:1.02	 4:.007621
1	 1:9.36692	 2:0	 3:1.02	 4:.000805
1	 1:15.5993	 2:1.04	 3:4.17	 4:.019682
1	 1:5.98276	 2:0	 3:0	 4:0
1	 1:3.30831	 2:0	 3:0	 4:0
2	 1:25.5219	 2:9.26	 3:11.64	 4:.027806
1	 1:3.96663	 2:1.02	 3:1.03	 4:.000584
1	 1:18.6755	 2:5.09	 3:6.19	 4:.005188
1	 1:0	 2:0	 3:0	 4:0
1	 1:1.56044	 2:0	 3:0	 4:0
1	 1:10.1348	 2:3.14	 3:3.14	 4:.003888
1	 1:11.5039	 2:1.07	 3:2.11	 4:.00141
1	 1:7.21846	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:3.01668	 2:0	 3:0	 4:0
1	 1:27.4268	 2:9.92	 3:17.35	 4:.016511
2	 1:9.04795	 2:0	 3:1.03	 4:.001627
1	 1:12.307	 2:1.02	 3:3.06	 4:.002308
1	 1:18.7155	 2:7.37	 3:6.39	 4:.006375
1	 1:8.96317	 2:1.04	 3:2.09	 4:.001265
1	 1:10.8049	 2:3.11	 3:4.28	 4:.005892
1	 1:1.77712	 2:0	 3:0	 4:0
1	 1:14.5398	 2:5.08	 3:8.21	 4:.011838
1	 1:2.57507	 2:1.08	 3:1.11	 4:.016427
1	 1:6.61569	 2:3.08	 3:3.16	 4:.002013
1	 1:4.50329	 2:1.03	 3:1.04	 4:.000748
1	 1:0	 2:0	 3:0	 4:0
1	 1:7.72196	 2:0	 3:1.01	 4:.000805
1	 1:7.4204	 2:0	 3:1.01	 4:.000584
1	 1:15.2441	 2:3.06	 3:5.22	 4:.010751
1	 1:20.0741	 2:4.35	 3:11.2	 4:.012828
1	 1:12.5339	 2:3.1	 3:3.12	 4:.002244
1	 1:5.8145	 2:3.17	 3:2.25	 4:.024364
1	 1:12.6913	 2:3.74	 3:3.74	 4:.003706
1	 1:28.2413	 2:10.49	 3:13.09	 4:.015876
1	 1:4.49802	 2:0	 3:0	 4:0
1	 1:8.04434	 2:0	 3:0	 4:0
1	 1:12.2832	 2:4.09	 3:3.2	 4:.004924
2	 1:9.57359	 2:0	 3:0	 4:0
1	 1:4.41258	 2:1.07	 3:2.03	 4:.004604
2	 1:11.9634	 2:1.01	 3:2.03	 4:.00275
2	 1:10.912	 2:3.05	 3:4.06	 4:.006275
2	 1:9.9241	 2:1.01	 3:2.06	 4:.001434
1	 1:4.68802	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:3.22666	 2:0	 3:0	 4:0
1	 1:3.36633	 2:0	 3:0	 4:0
1	 1:1.56044	 2:0	 3:0	 4:0
1	 1:1.56044	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:5.47181	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:17.2944	 2:4.14	 3:6.46	 4:.005656
1	 1:11.9189	 2:4.15	 3:5.38	 4:.006848
1	 1:4.75414	 2:0	 3:1.01	 4:.000805
1	 1:6.30121	 2:0	 3:0	 4:0
2	 1:11.4044	 2:3.07	 3:4.25	 4:.010119
1	 1:1.56044	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
2	 1:4.43166	 2:0	 3:0	 4:0
1	 1:1.77712	 2:0	 3:0	 4:0
1	 1:1.56044	 2:0	 3:0	 4:0
2	 1:8.3733	 2:0	 3:0	 4:0
1	 1:4.41258	 2:2.07	 3:2.08	 4:.004604
1	 1:4.44773	 2:0	 3:0	 4:0
1	 1:10.2283	 2:4.11	 3:5.19	 4:.007762
1	 1:18.3841	 2:5.13	 3:7.21	 4:.016049
1	 1:14.266	 2:3.04	 3:3.07	 4:.003306
1	 1:7.10003	 2:1.02	 3:2.02	 4:.001197
1	 1:1.76682	 2:0	 3:0	 4:0
2	 1:10.3631	 2:4.22	 3:5.51	 4:.054057
1	 1:4.57971	 2:0	 3:0	 4:0
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:6.42599	 2:0	 3:0	 4:0
2	 1:4.79899	 2:1.05	 3:1.17	 4:.001533
1	 1:1.38451	 2:0	 3:0	 4:0
2	 1:4.19546	 2:0	 3:0	 4:0
1	 1:3.15241	 2:0	 3:0	 4:0
1	 1:11.1153	 2:2.02	 3:3.1	 4:.003474
1	 1:3.05459	 2:0	 3:0	 4:0
1	 1:6.09363	 2:0	 3:0	 4:0
1	 1:25.7875	 2:6.17	 3:8.49	 4:.009859
1	 1:2.99178	 2:0	 3:0	 4:0
2	 1:7.17242	 2:1.02	 3:1.08	 4:.006028
2	 1:33.6659	 2:28.59	 3:29.7	 4:.036418
1	 1:5.63729	 2:2.02	 3:2.03	 4:.004434
1	 1:19.8036	 2:3.06	 3:4.16	 4:.005953
1	 1:19.1818	 2:6.61	 3:9.05	 4:.00885
1	 1:19.1282	 2:3.04	 3:3.12	 4:.002234
1	 1:0	 2:0	 3:0	 4:0
1	 1:8.05292	 2:0	 3:1.01	 4:.001981
2	 1:19.8138	 2:7.16	 3:6.27	 4:.007214
1	 1:9.53614	 2:1.01	 3:1.03	 4:.001627
1	 1:2.97312	 2:1.02	 3:1.04	 4:.00114
1	 1:16.1061	 2:2.17	 3:3.22	 4:.003596
1	 1:6.90917	 2:0	 3:0	 4:0
2	 1:22.9998	 2:12.55	 3:15.13	 4:.026088
1	 1:10.1983	 2:0	 3:2.02	 4:.001423
1	 1:4.51037	 2:1.03	 3:1.11	 4:.002502
2	 1:11.1043	 2:1.01	 3:1.03	 4:.000974
1	 1:4.41258	 2:1.01	 3:1.02	 4:.002356
1	 1:9.1192	 2:0	 3:0	 4:0
1	 1:14.0791	 2:1.01	 3:3.06	 4:.004958
1	 1:0	 2:0	 3:0	 4:0
1	 1:7.6651	 2:0	 3:0	 4:0
